datetime,city,state,country,shape,duration_seconds
2001-10-10 03:00:00,rockwell city,ia,us,triangle,240.0
2001-10-10 04:33:00,sydney (nsw&#44 australia),,au,formation,180.0
2001-10-10 20:10:00,vancouver (canada),bc,ca,other,300.0
2001-10-10 20:35:00,hayward,ca,us,circle,120.0
2001-10-10 21:15:00,ottumwa,ia,us,rectangle,300.0
2001-10-10 21:30:00,fresno,ca,us,changing,900.0
2001-10-10 22:00:00,phoenix,az,us,triangle,60.0
2001-10-10 23:00:00,virginia beach,va,us,triangle,30.0
2002-10-10 00:01:00,hayward,wi,us,flash,43.0
2002-10-10 02:00:00,philomath,or,us,unknown,5.0
2002-10-10 04:00:00,adelaide (pt. wakefield) (south australia),,au,circle,600.0
2002-10-10 06:00:00,seattle,wa,us,sphere,90.0
2002-10-10 19:45:00,victoria (canada),bc,ca,unknown,120.0
2002-10-10 20:30:00,cincinnati,oh,us,other,1800.0
2002-10-10 21:00:00,portland,or,us,circle,120.0
2003-10-10 09:00:00,new buffulo,mi,,light,120.0
2003-10-10 12:00:00,alhambra,ca,us,oval,300.0
2003-10-10 18:00:00,indianapolis,in,us,sphere,1800.0
2003-10-10 19:15:00,centreville,va,us,other,600.0
2003-10-10 20:05:00,grand view,id,us,light,15.0
2003-10-10 20:25:00,temperance,mi,us,oval,18000.0
2003-10-10 21:10:00,crescent beach,sc,us,formation,37800.0
2003-10-10 22:00:00,albuquerque,nm,us,light,180.0
2003-10-10 23:00:00,bickerton (near wetherby) (uk/england),,,unknown,2700.0
2003-10-10 23:25:00,gleason,wi,us,sphere,1800.0
2004-10-10 02:50:00,mahwah,nj,us,triangle,180.0
2004-10-10 03:30:00,worthington st. forest,nj,,other,2700.0
2004-10-10 03:50:00,portage la prairie (canada),mb,ca,changing,1200.0
2004-10-10 04:18:00,terre haute,in,us,sphere,5.0
2004-10-10 08:30:00,indianapolis,in,us,oval,15.0
2004-10-10 09:45:00,nobel (canada),on,ca,unknown,300.0
2004-10-10 14:00:00,morgantown,wv,us,circle,10.0
2004-10-10 15:00:00,berkeley,ca,us,unknown,180.0
2004-10-10 15:00:00,rock island,il,us,sphere,3600.0
2004-10-10 15:20:00,kedainiai (lithuania),,,oval,240.0
2004-10-10 19:00:00,chateauqua,ny,,formation,1200.0
2004-10-10 19:00:00,ripley,ny,us,circle,900.0
2004-10-10 21:00:00,faribault,mn,us,flash,900.0
2004-10-10 21:00:00,mansfield,oh,us,light,7200.0
2004-10-10 22:00:00,columbia,mo,us,light,60.0
2004-10-10 23:30:00,gleason,wi,us,sphere,3000.0
2005-10-10 07:40:00,seattle,wa,us,other,60.0
2005-10-10 09:00:00,apache junction,az,us,other,30.0
2005-10-10 09:30:00,north miami beach,fl,us,oval,1800.0
2005-10-10 14:45:00,los angeles,ca,us,egg,10.0
2005-10-10 20:00:00,loretto,pa,us,triangle,300.0
2005-10-10 20:00:00,newtown (uk/wales),,gb,formation,360.0
2005-10-10 21:00:00,lewisburg,tn,us,unknown,240.0
2005-10-10 21:30:00,north miami beach,fl,us,other,3600.0
2005-10-10 22:08:00,east wenatchee,wa,us,light,1200.0
2005-10-10 23:00:00,hendersonville,nc,us,light,600.0
2005-10-10 23:07:00,brainerd,mn,us,disk,300.0
2006-10-10 01:00:00,pennington,tx,us,diamond,3600.0
2006-10-10 05:00:00,san francisco,ca,us,triangle,600.0
2006-10-10 12:37:00,blairsville,ga,us,unknown,10.0
2006-10-10 16:00:00,savannah,tn,us,light,600.0
2006-10-10 16:00:00,waynesboro,va,us,triangle,600.0
2006-10-10 19:00:00,unsure,ar,,fireball,2.0
2006-10-10 20:00:00,bray,ok,us,other,360.0
2006-10-10 21:47:00,plymouth (devonshire) (uk/england),,gb,formation,120.0
2006-10-10 22:40:00,waycross,ga,us,light,120.0
2006-10-10 22:50:00,wolfforth,tx,us,disk,300.0
2006-10-10 23:00:00,lyndhurst,oh,us,unknown,300.0
2007-10-10 01:00:00,lebanon,or,us,light,14400.0
2007-10-10 01:00:00,stockbridge,ga,us,changing,3600.0
2007-10-10 04:00:00,denver,co,us,changing,2700.0
2007-10-10 04:30:00,jacksonville,fl,us,sphere,30.0
2007-10-10 06:00:00,indio,ca,us,oval,600.0
2007-10-10 13:00:00,owego,ny,us,triangle,10800.0
2007-10-10 18:33:00,downingtown,pa,us,circle,120.0
2007-10-10 19:00:00,austin,tx,us,flash,3.0
2007-10-10 20:10:00,starrsville (covington),ga,us,sphere,60.0
2007-10-10 20:00:00,west palm beach florida,fl,,fireball,180.0
2007-10-10 20:30:00,conyers,ga,us,unknown,3600.0
2007-10-10 20:55:00,vero beach,fl,us,unknown,30.0
2007-10-10 21:00:00,jensen beach,fl,us,oval,120.0
2007-10-10 21:43:00,houston,tx,us,formation,35.0
2007-10-10 22:00:00,duluth,mn,us,light,600.0
2007-10-10 22:00:00,fleming,co,us,circle,600.0
2007-10-10 22:00:00,grove city,pa,us,unknown,3600.0
2007-10-10 22:00:00,van alstyne,tx,us,other,4.0
2007-10-10 23:05:00,northglenn,co,us,triangle,15.0
2007-10-10 23:20:00,stord (norway),,,light,600.0
2008-10-10 02:00:00,london (canada),on,ca,other,120.0
2008-10-10 02:00:00,north branch,mn,us,light,300.0
2008-10-10 02:00:00,slingerlands,ny,us,circle,240.0
2008-10-10 04:00:00,carlin,nv,us,disk,600.0
2008-10-10 04:50:00,evansville,in,us,formation,600.0
2008-10-10 06:00:00,albany,ny,us,oval,45.0
2008-10-10 10:22:00,fremont,ca,us,triangle,60.0
2008-10-10 18:00:00,yuma,az,us,triangle,900.0
2008-10-10 19:00:00,south bend,in,us,light,600.0
2008-10-10 20:00:00,la crescent,mn,us,formation,10.0
2008-10-10 20:00:00,moon township,pa,,unknown,120.0
2008-10-10 20:00:00,philadelphia,pa,us,oval,60.0
2008-10-10 20:00:00,seattle,wa,us,light,180.0
2008-10-10 20:40:00,pueblo,co,us,light,300.0
2008-10-10 21:30:00,cincinnati,oh,us,oval,900.0
2008-10-10 22:00:00,san diego,ca,us,disk,30.0
2008-10-10 22:30:00,madison,wi,us,circle,20.0
2008-10-10 23:15:00,coldwater,oh,us,sphere,60.0
2009-10-10 12:00:00,crested butte,co,us,egg,60.0
2009-10-10 12:42:00,tulsa,ok,us,unknown,6.0
2009-10-10 16:00:00,eagar,az,us,unknown,180.0
2009-10-10 19:30:00,suffolk,va,us,unknown,900.0
2009-10-10 20:30:00,anaheim,ca,us,light,300.0
2009-10-10 20:45:00,wilmington,nc,us,light,600.0
2009-10-10 21:00:00,leesburg,va,us,disk,300.0
2009-10-10 23:00:00,michigan city,in,us,changing,900.0
2009-10-10 23:23:00,cupertino,ca,us,light,180.0
2010-10-10 01:00:00,orchard park,ny,us,light,7200.0
2010-10-10 02:30:00,harrisburg,pa,us,circle,240.0
2010-10-10 03:00:00,euclid,oh,us,circle,180.0
2010-10-10 08:30:00,starr,sc,us,formation,600.0
2010-10-10 12:00:00,greenwich,ct,us,light,240.0
2010-10-10 13:00:00,north charleston,sc,us,light,180.0
2010-10-10 15:00:00,san francisco airport,ca,,triangle,300.0
2010-10-10 16:30:00,springfield,va,us,cigar,15.0
2010-10-10 17:10:00,bridgeport,ct,us,light,600.0
2010-10-10 18:30:00,clackamas,or,us,triangle,120.0
2010-10-10 20:00:00,san angelo,tx,us,oval,60.0
2010-10-10 20:20:00,windsor,ct,us,fireball,5.0
2010-10-10 20:45:00,sterling,il,us,cylinder,600.0
2010-10-10 21:00:00,everett,wa,us,other,30.0
2010-10-10 21:00:00,kykotsmovi,az,us,disk,7200.0
2010-10-10 21:30:00,albany,ny,us,circle,10.0
2010-10-10 22:30:00,garden grove,ca,us,egg,7200.0
2010-10-10 23:00:00,miami,fl,us,changing,1200.0
2011-10-10 00:00:00,troy,ny,us,triangle,7200.0
2011-10-10 01:00:00,farmington,nm,us,circle,300.0
2011-10-10 02:00:00,prescott valley,az,us,other,300.0
2011-10-10 10:30:00,ashville,ny,us,circle,60.0
2011-10-10 14:00:00,epsom (surrey) (uk/england),,gb,oval,300.0
2011-10-10 14:30:00,north kingstown,ri,us,oval,40.0
2011-10-10 15:00:00,groton,ct,us,disk,5.0
2011-10-10 18:15:00,peabody-saugus,ma,,flash,2700.0
2011-10-10 19:00:00,mechanicsville,va,us,light,300.0
2011-10-10 19:30:00,murfeesboro/smyrna,tn,,,2700.0
2011-10-10 20:00:00,hamilton (canada),on,ca,flash,4.0
2011-10-10 20:00:00,middletown,ct,us,fireball,1200.0
2011-10-10 21:00:00,lakewood,oh,us,fireball,60.0
2011-10-10 21:00:00,york,pa,us,circle,15.0
2011-10-10 21:55:00,north platte,ne,us,circle,3.0
2011-10-10 23:00:00,waynesville,oh,us,triangle,90.0
2012-10-10 10:15:00,bridgeport,ct,us,circle,630.0
2012-10-10 15:00:00,san francisco airport,ca,,triangle,300.0
2012-10-10 18:56:00,san diego,ca,us,sphere,240.0
2012-10-10 19:09:00,sterling heights,mi,us,oval,120.0
2012-10-10 19:40:00,syracuse,ny,us,light,900.0
2012-10-10 19:45:00,syracuse,ny,us,circle,240.0
2012-10-10 20:00:00,colorado springs,co,us,light,20.0
2012-10-10 20:00:00,moundville,al,us,changing,240.0
2012-10-10 20:15:00,new york city (bronx),ny,us,disk,1800.0
2012-10-10 20:17:00,mount albert (canada),on,,triangle,30.0
2012-10-10 20:30:00,las cruces,nm,us,fireball,120.0
2012-10-10 20:30:00,marion,il,us,light,240.0
2012-10-10 20:30:00,san jose,ca,us,other,6.0
2012-10-10 20:45:00,phoenix,az,us,sphere,300.0
2012-10-10 20:48:00,yakima,wa,us,light,240.0
2012-10-10 21:00:00,austin,tx,us,changing,1200.0
2012-10-10 21:00:00,bean station,tn,us,cigar,180.0
2012-10-10 21:00:00,rochester,wa,us,light,600.0
2012-10-10 23:01:00,suffern,ny,us,cylinder,20.0
2012-10-10 23:20:00,rancho mirage,ca,us,rectangle,5.0
2013-10-10 00:00:00,clifton,nj,,light,60.0
2013-10-10 02:32:00,palm harbor,fl,us,chevron,5.0
2013-10-10 05:00:00,aurburn,ky,,triangle,600.0
2013-10-10 17:00:00,st. louis county,mo,us,light,10800.0
2013-10-10 17:10:00,ottawa (canada),on,ca,light,10.0
2013-10-10 19:00:00,rittman,oh,us,light,60.0
2013-10-10 19:15:00,harvey station (canada),nb,ca,light,120.0
2013-10-10 19:20:00,essex junction,vt,us,light,120.0
2013-10-10 19:20:00,kenner,la,us,circle,600.0
2013-10-10 20:00:00,drexel,oh,us,circle,300.0
2013-10-10 20:00:00,hudson,nh,us,light,5.0
2013-10-10 20:30:00,grand blanc,mi,us,light,1200.0
2013-10-10 20:30:00,savage,mn,us,circle,60.0
2013-10-10 20:32:00,warren,mi,us,sphere,45.0
2013-10-10 20:35:00,canton,mi,us,triangle,180.0
2013-10-10 21:17:00,lost creek,wv,us,triangle,45.0
2013-10-10 21:30:00,hudson,nh,us,light,1.0
1973-10-11 16:45:00,jupiter,fl,us,egg,14400.0
1978-10-11 23:00:00,brighton,mi,us,circle,300.0
1986-10-11 20:30:00,alice springs  (nt&#44 australia),,au,,20.0
1987-10-11 21:30:00,minnetonka,mn,us,light,30.0
1987-10-11 23:59:00,otto,mo,us,fireball,60.0
1989-10-11 21:00:00,kewanee,il,us,sphere,180.0
1989-10-11 21:00:00,kewanee,il,us,sphere,300.0
1992-10-11 10:00:00,albuquerque,nm,us,sphere,900.0
1994-10-11 02:00:00,jackson,nj,us,triangle,300.0
1994-10-11 04:00:00,riverside,ca,us,chevron,4.0
1995-10-11 18:30:00,new york city (brooklyn),ny,us,,720.0
1995-10-11 20:00:00,huntington,wv,us,,120.0
1996-10-11 22:00:00,damascus,va,us,light,60.0
1997-10-11 22:00:00,hafnarfjordur (iceland),,,sphere,300.0
1998-10-11 02:15:00,montara,ca,us,other,3600.0
1998-10-11 14:05:00,vega baja (puerto rico),pr,us,cigar,120.0
1998-10-11 14:30:00,mount carmel,tn,us,light,10.0
1998-10-11 20:30:00,highland,in,us,sphere,14400.0
1998-10-11 22:40:00,bar harbor (bar island crossover),me,us,sphere,30.0
1998-10-11 22:45:00,elk grove,ca,us,fireball,4.0
1999-10-11 00:15:00,montgomery,al,us,light,180.0
1999-10-11 04:30:00,los angeles,ca,us,light,300.0
1999-10-11 06:10:00,somerset?,wi,,unknown,120.0
1999-10-11 07:40:00,three rivers,mi,us,oval,600.0
1999-10-11 09:10:00,canby,or,us,light,10.0
1999-10-11 18:00:00,parry sound (near) (canada),on,ca,disk,6.0
1999-10-11 20:15:00,portville,ny,us,oval,30.0
1999-10-11 20:15:00,portville,ny,us,oval,30.0
1999-10-11 20:15:00,portville,ny,us,oval,60.0
1999-10-11 20:15:00,portville,ny,us,oval,60.0
1999-10-11 20:35:00,kirbyville (due south of),mo,us,other,5400.0
1999-10-11 21:00:00,winnemucca,nv,us,cigar,2.0
1999-10-11 21:10:00,ashland,or,us,triangle,45.0
1999-10-11 21:30:00,augusta,ks,us,light,600.0
1999-10-11 21:30:00,montgomery,tx,us,light,3600.0
1999-10-11 21:45:00,eureka springs,ar,us,light,900.0
1999-10-11 22:15:00,parker&#39s lake,ky,,disk,900.0
1999-10-11 22:30:00,addison (i-355 and us 20 (lake st.),il,us,disk,600.0
2000-10-11 19:30:00,london (uk/england),,gb,diamond,3.0
2000-10-11 20:00:00,watertown,ny,us,light,30.0
2000-10-11 22:00:00,elverta,ca,us,light,30.0
2000-10-11 22:09:00,dolgellau (uk/wales),,gb,changing,240.0
2000-10-11 23:30:00,whittier,ca,us,light,1500.0
2001-10-11 01:00:00,somerset,wi,us,light,10800.0
2001-10-11 02:15:00,fairbanks,ak,us,other,1800.0
2001-10-11 05:15:00,denver,co,us,light,900.0
2001-10-11 08:15:00,columbia,ms,us,teardrop,300.0
2001-10-11 20:35:00,grass valley,ca,us,triangle,60.0
2001-10-11 23:49:00,lima,oh,us,teardrop,300.0
2002-10-11 06:17:00,springfield,mo,us,fireball,6.0
2002-10-11 13:25:00,reno,nv,us,sphere,600.0
2002-10-11 16:15:00,randolph,ma,us,cylinder,300.0
2002-10-11 20:36:00,dallas,tx,us,fireball,3.0
2003-10-11 00:00:00,san diego,ca,us,,172800.0
2003-10-11 00:20:00,austin,mn,us,circle,5.0
2003-10-11 01:29:00,new york city (manhattan),ny,us,egg,120.0
2003-10-11 03:00:00,truckee,ca,us,sphere,3.0
2003-10-11 07:00:00,fort knox,ky,,fireball,3.0
